notice;chaine;Année de date_diffusion;Année de decennie;public_groupe;mediamat_groupe;genre_groupe;duree;resume
4411.001;TF1;1995;1990;Présence d'un public in situ;Culture connaissance;Magazine;02:03:42:00;"Tina KIEFFER arbitre le débat consacré aux OVNI et aux extraterrestres, en compagnie de Christophe LAMBERT. Celui-ci, venu faire la promotion de ""Highlander 3"", affirme qu'il aime croire à une autre vie dans l'univers. Selon les principes de l'émission, des spécialistes et des témoins convaincus s'opposent à des sceptiques bien campés dans leur position :
     Linda WALKER, québécoise, témoigne de son enlèvement par des extraterrestres, qui lui ont prélevé un morceau de peau. Elle continue à communiquer avec eux par télépathie et rapporte leur message d'amour et de paix.
     Jean Roch LAURENCE, psychanalyste spécialisé dans l'hypnose de personnes enlevées soutient qu'ils sont de bonne foi.
     Géraldine LEVASSEUR lance un reportage sur les ""abductions"" (enlèvement) qui se multiplient aux Etats Unis (avec participation de JR LAURENCE et Bud HOPKINS).
     Jean Luc RIVERA, cadre supérieur, pense que l'ampleur de ces  événements (des dizaines de milliers de personnes touchées) prouve leur véracité.
     Le professeur Jean Paul ESCANDE (dermatologue) décrit médicalement la cicatrice de Linda.
     Alain GILLOT PETRE, qui refuse de croire aux apparitions d'OVNI, multiplie ses interventions moqueuses et méprisantes. Il trouve ridicule d'imaginer que des E.T. voyagent à travers l'univers pour repartir tout de suite.
     Jean HEIDMANN, astronome à l'Observatoire de Meudon, accepte l'hypothèse extraterrestre, précisant que les scientifiques ont peu d'atouts pour s'attaquer au problème. 
     Pour Sylvie VAUCLAIR, astrophysicienne à l'Observatoire de Toulouse, on est obligé de penser qu'il peut y avoir une vie ailleurs ; quant aux ""visiteurs"", c'est autre chose.
     Jean Gabriel GRESLE, ancien pilote de ligne et écrivain, a vu l'écho à Mach 4 ou 5, d'un OVNI dépassant son avion.
     Jean FUMEAU est en contact permanent avec les Frères de l'espace, qui l'ont averti d'un Apocalypse imminent contre lequel ils peuvent nous sauver. Il raconte son dédoublement astral contrôlé dans la chambre d'hôtel de Mireille Mathieu.
     Jeanine, également contactée par les Frères, se sent investie d'une mission pour préparer un plan d'évacuation des terriens.
     Jean Francis CROLARD (Conseil en Relations humaines, auteur de ""L'Enigme des ET"") rappelle que l'absence de preuves n'est pas une preuve d'absence.
     Jean Claude RIBES, astronome au CNRS, pense qu'il n'est pas inutile de faire des études sur les OVNI.
     Jean Pierre PETIT, directeur de recherche au CNRS Marseille, résume les recherches qu'il entreprend depuis 20 ans sur les ""Units"", des messages écrits envoyés par des extraterrestres. La discussion déborde alors sur les blocages de la part des dirigeants du CNRS et de l'armée.
     Des petites altercations ont lieu entre JP PETIT et A GILLOT PETRE qui, vexé d'avoir été traité d'imbécile, répète qu'on le prend pour un imbécile parce qu'il n'a pas de diplômes. JP PETIT se voit lui appelé ""énergumène"" par JC RIBES,...
     Le journaliste Robert ROUSSEL s'est penché sur le dossier de Jean Pierre PETIT"
189392.001;Canal +;1995;1990;Présence d'un public in situ;Variétés divertissement;Magazine;01:12:28:00;"Le premier dossier s'intitule : ""Je dois payer pour un autre"". Le premier invité, Guy NOIRAY, divorcé, doit payer jusqu'à la fin de ses jours une pension compensatoire à sa femme. Les deux autres invités, Jane BOUCHERON et Anas DOSSOU, doivent payer les dettes d'amis pour lesquels ils se sont portés caution. Isabelle HORLANS décrit les notions de prestations compensatoires et de caution et évoque les recours éventuels.
- METEO : présentée par Mademoiselle AGNES
- LE JOURNAL : présenté par Jérôme LENFANT
- APPEL A TEMOINS
- ZAPPING
le deuxième dossier a pour titre : ""J'ai vu des OVNIS et on ne m'a pas cru"". Les deux premiers invités, Robert PATIN et Laurent HUYGUE, apportent leur témoignage. Le troisième invité, Pierre LAGRANGE, qui a écrit un article sur le sujet pour le magazine Sciences et Vie, évoque ces phénomènes.
Agnès MICHAUX présente des interviews d'enfants sur ce thème.
- LE VISIOPHONE : présenté par Marc-Olivier FOGIEL. Le thème concerne les certificats de concubinage pour les couples homosexuels."
230183.001;TF1;1996;1990;Présence d'un public in situ;Culture connaissance;Magazine;01:20:49:00;"Petit tour au bistro du coin pour recueillir les avis des consommateurs.
Renaud RAHARD donne les chiffes des sondages: ""Existent-ils? NON:66%, OUI:33%.
Laurent BLEU et Michel CHEVALET n'en ont jamais vu...Jean Pierre PETIT (astrophysicien), bien que travaillant au CNRS, précise qu'il parle en son nom et que ses collègues préfèrent rester anonymes. Le dossier OVNI flanque une peur terrible, précise-t-il; lui-même reçoit depuis 30 ans, par la Poste, des documents envoyés par les unnites. Hugo NHART, a entre les mains des rapports scientifiques de cas inexpliqués, et Boris CHOURINOV a les preuves de l'existence d'OVNI en Russie. Catherine LEMAIRE (psychothérapeute), spécialiste des hallucinations, se trouve vigoureusement remise à sa place ""on trouve normal d'inviter n'importe qui!"".
Témoignage de Pierre MONNET contacté plusieurs fois depuis 1961, raconte sa 1ère rencontre à 1h30 du matin dans le Vaucluse avec une soucoupe et 4 êtres comme nous; tout ça après avoir été téléporté 5km plus loin.
L'ET.SONNE TOUJOURS TROIS FOIS (reconstitution) Mr VIANA dans son atelier raconte comment des phénomènes étranges se sont passés: ordre télépathique, machines qui bougent, présence de deux têtes dans son atelier, téléportation de sa voiture...
Suite en plateau du témoignage de Mr MONNET, contacté une 2ème fois en 74 dans une station service.
AFFREUX PALES ET MECHANTS (reconstitution): description par un sculpteur des ET vus à travers les vitres de son atelier:""ils sont méchants, cruels, affreux et se moquent de moi"". Il est entouré de sculptures curieuses!
La discussion reprend sur l'origine et la composition d'un morceau de minerai entre Paul Eric BLANRUE, Gildas BOURDAIS et uneminéralogue Stéphanie ROSSANO...""engueulade générale"". Puis Boris CHOURINOV affirme avoir écrit des choses incontestables sur des faits inexpliqués par des raisons terrestres (il lit son livre). Gildas BOURDAIS montre que l'information est censurée dans la presse, la preuve étant l'affaire Roswell aux Etats-Unis au cours de laquelle des archives ont été détruites. Sherryl MULHERN, anthropologue met en garde contre le fait que la présence des OVNI ne repose que sur des témoignages, et l'on connait leur véracité. Pierre BEAKE a vu un OVNI, il en a parlé sous hypnose et son fils de 7 ans l'a dessiné.
EN CAMERA CACHEE: dans un village des Yvelynes, un beau matin on vient relever des empreintes dans un cadre très officiel (police, scientifiques en blouse blanche)- c'était un canular - et pourtant les témoins parlent de bruits, d'odeurs, de coupures de courant, et ont même vu..
Jimmy GUIEN tourne cette démonstration en ridicule. Jacques CARTER a pris des photos d'OVNI, et est contacté régulièrement par des ET tous les 18 ans; ils ont pris l'empreinte de son cerveau pour le retrouver plus facilement. Pierre MONNET et Gildas BOURDAIS expliquent que nous sommes tous des descendants d'ET, que nous sommes importés d'autres planètes, et qu'une certaine race d'ET est intervenue sur le génome humain...Certains des participants réclament un débat scientifique!"
230555.019;NRJ 12;2009;2000;Programme jeunesse;Fiction;Animation;00:20:37:00;"[Source iMedia]
Les membres de Planète Express luttent contre des extraterrestres, qui veulent nuire à la Terre par l'intermédiaire de Fry, tombé sous leur contrôle.
L'équipe de Planète Express se bat contre des aliens pour sauver la Terre. Alors que les diaboliques extraterrestres lancent une cyber attaque contre la planète, ils font une découverte surprenante : le secret du voyage temporel est tatoué sur les fesses de Fry. Grâce à un virus informatique de leur cru, les aliens parviennent à prendre le contrôle de Fry. Ils veulent ainsi l'obliger à se rendre plusieurs fois dans le passé. De chacune de ses visites, Fry devra rapporter un trésor terrien et ainsi vider de sa substance toute l'Histoire des civilisations de la planète bleue..."
230555.020;NRJ 12;2009;2000;Programme jeunesse;Fiction;Animation;00:20:32:00;"[Source iMedia]
Les extraterrestres commencent à piller tout ce qui a une quelconque valeur dans l'Histoire de la Terre. Ils ordonnent à Bender de tuer Fry. De son côté, Leela vit toujours le parfait amour avec Lars..."
230555.021;NRJ 12;2009;2000;Programme jeunesse;Fiction;Animation;00:20:20:00;"[Source iMedia]
Les extraterrestres pensent avoir gagné et être enfin parvenus à détruire la civilisation terrienne. Ils sont persuadés que Fry est mort. Or, celui-ci réapparaît comme par magie lors de sa cérémonie d'enterrement..."
230555.022;NRJ 12;2009;2000;Programme jeunesse;Fiction;Animation;00:25:14:00;"[Source iMedia]
Convaincu par les arguments des extraterrestres, le président Nixon leur laisse le pouvoir de commander à tout citoyen. Chacun est sommé de quitter la planète. Fry et ses amis trouvent refuge sur Neptune d'où ils préparent une contre-attaque..."
270613.046;Direct 8;2010;2010;Participation du public à distance;Culture connaissance;Magazine;01:11:46:00;"[Source TNS media intelligence ] : 
Sommaire
Mails - Laurent Artufel
Zapping 
18:49:13  Le 12 45 - M6 
18:49:40  A deux pas du futur - France 2 : la réception d'1 message extraterrestre 
18:50:07  Le JT - Canal+ : beaucoup d'américains pensent que Barack Obama est musulman 
18:50:39  Soir 3 - France 3 : 33 mineurs chiliens ensevelis sont vivants 
18:51:11 JT de 20h - France 2 : Dominique de Villepin estime qu'il y a 1 tache de honte sur le drapeau 
18: 51:41  JT 13h - TF1 
18:51:52  La folie des années 90 - France 3 
18:52:12  Yo Momma! - MTV 
18:52:24  Un diner presque parfait, le combat des régions - M6 
18:52:51  Une famille en or - TF1 
18:53:42  Le sexe et moi - MTV 
18:54:12 Les 12 coups de midi - TF1 
18:54:18  100% Mag - M6 
18:54:32  Secret Story - TF1
Ca vient de tomber - Laurent Artufel 
18:55:09  appel à la grève pour RFM et Virgin Radio pour le 1er septembre contre 1 projet de fermeture des stations locales 
18:55:36  Koh Lanta saison 10 commencera sur TF1 le 17 septembre 
18: 56:15  David Lantin l'ancien producteur de Mickaël Vendetta s'en prend à son ancien protégé
Votre soirée télé
Audiences 
18:58:26  M6 a lancé la 2ème saison en prime du Diner presque parfait, l'audience a été moyenne 
18:58:45  le téléfilm ""Merci papa, merci maman"" a eu 1 audience moyenne 
18:59:03 Extrait  
18:59:07  ""Castle"" sur France 2 a eu 1 audience élevée
Ca buzz - Willy Liechty
L'animateur de M6 Mac Lesgy va faire de la publicité pour 1 dentifrice 
19:06: 14 Extrait  
19:07:02 Retour plateau
Invitée : Alexia Laroche-Joubert, productrice 
19:07:37  question sur son départ d'Endemol ; Alexia Laroche-Joubert dit qu'elle ne regrette rien, elle peut maintenant travailler sur plusieurs chaînes avec des formats différents 
19:08:21  questions sur la téléréalité
Publicité
Invitée : Alexia Laroche-Joubert, productrice  
19:14:39  demain soir sera diffusé sur TMC la RFM Party 80 
19:14:53 Reportage Bertrand Chomeroy (ph) sur les coulisses de l'émission 
19:15:34 Interview Jean-Pierre Mader, artiste 
19:16:03 Micro-trottoir ; la tournée est 1 succès parce que le public suit 
19:21:13 Retour plateau jeu sur les musiques des années 80 
19:22: 51 Alexia Laroche-Joubert dit que le concept est très fédérateur 
19:24:52 Reportage Guillaume Dietrich sur la carrière d'Alexia Laroche-Joubert ; en 2001 elle s'est vu confier le ""Loft"" et la ""Star Academy"" 
19:25:38 Interview Philippe Bailly, président NPA Conseil qui dit qu'Alexia Laroche-Joubert fait parti de ceux qui ont créé la téléréalité en France  
19:26:26  Alexia Laroche-Joubert a aussi lancé ""On a échangé nos mamans"" 
19:26:32 Extrait ; en 2008 elle quitte Endemol 
19:27:08 Interview Philippe Bailly qui dit qu' elle a inventé le concept du producteur qui fait l'animateur ; elle a lancé ""Sexy Staff"" sur NRJ12 et ""Bienvenue dans ma tribu"" sur TF1 
19:27:47 Extrait ; le projet ""Dilemme"" a rempli ses journées il y a quelques mois 
19:28:20 Retour plateau  
19:30:09  Alexia Laroche-Joubert pense qu'il y aura un Dilemme 2, elle a braqué les projecteurs sur W9 ; ce qui était trash n'a été diffusé que sur le web, le CSA n'a pas beaucoup d'humour 
19:32:02 questions sur ""Bienvenue dans ma tribu""  
19:33:28  question sur ""Je veux signer chez AZ"" sur W9 
19:35:22  le ""Plus grand quizz de France"" est arrêté
L'élection de Miss Univers hier sur Paris Première a été controversée, certaines candidates ont posé seins nus 
19:36:35 Extrait JT 13h de TF1 
19:37: 42 Retour plateau Invité : Christophe Roux, commentateur de la cérémonie sur Paris Première
News 
19:40:29  Canal + confie à Victor Robert les rênes d'1 émission chaque samedi à partir du 11 septembre 
19:41:07  Bruce Toussaint va démarrer une nouvelle émission sur Canal+ le 12 septembre ""Tout le monde il est beau"" 
19: 41:42 Tom Novembre présentera 1 émission sur l'art contemporain sur Paris Première  
19:42:11  France 2 lance le ""Bureau des plaintes"" 
19:42:31  ""Télé 7 jours"" dévoile les recettes de Carole Rousseau pour changer de vie
La soirée télé d'Ariane - Ariane Brodier 
19:43:38 elle a regardé Un diner presque parfait sur M6 ; Master Chef sur TF1 a placé la barre très haut
Les tubes de l'été 2010 
19:47:31 Reportage Marie de Neuville ; Shakira a eu beaucoup de succès  
19:47:57 Micro-trottoir  
19:48:59 Extrait  
19:50:32 René la Taupe a battu tous les records 
19:51:35 Retour plateau Invité : Thomas, journaliste Chartsinfrance
Les interdits de Morandini 
19:54:01  1 faute de frappe dans ""l'Officiel hommes"" d'août sur la marque Ralph Lauren"
275747.026;NT1;2010;2010;Plus de seize ans;Fiction;Téléfilm;01:24:10:00;"[Source iMedia]
Les péripéties sexuelles d'un extraterrestre et d'une jeune vierge. Ils sont initiés aux plaisirs de la chair par une spécialiste de l'amour.
Emmanuelle, réputée pour maîtriser toutes les techniques sexuelles, a été choisie par Haffron, venu d'une autre planète, pour être son professeur. Suivant les leçons très particulières d'Emmanuelle depuis plusieurs semaines, l'extraterrestre se révèle être un élève plutôt doué. Il ne cesse de montrer ses étonnantes dispositions pour donner du plaisir à sa partenaire. Emmanuelle doit aussi s'occuper de Tasha, une jeune vierge sans expérience. La jeune fille, qui ne voulait faire son initiation qu'auprès d'Emmanuelle, prend rapidement plaisir aux leçons prodiguées par son professeur. Elle finit par tomber amoureuse de son mentor, ce qui n'était pas prévu..."
276150.001;TF1;1996;1990;Présence d'un public in situ;Culture connaissance;Magazine;01:24:14:00;"Jean-Marc MORANDINI présente l'émission et reçoit Yves RENIER pour les 20 ans du commissaire Moulin.
Carole SERRAT, dont on découvre un portrait, composé d'archives, contenant notamment ses apparitions en tant que speakerine, est aujoud'hui chanteuse. Sur le plateau , elle raconte sa carrière de chanteuse en particulier au Japon.
C'est ensuite Gloria LASSO qui témoigne. Des images d'archives, Gloria chantant ""O Vénus"" et des photos illustrent la carrière de ce personnage. Sur le plateau, elle évoque ses mariages qui sont ceux de ses producteurs et le cul qui seul interesse les gens. Elle n'abordera désormais plus ces sujets. Elle révèle qu'elle a été violée par son père à 8 ans et n'en a jamais parlé.
Pour le cinquième anniversaire de la mort de S. GAINSBOURG, Louis LAIBE retrace les débuts de SERGE. Il avait un talent fou en tant que pianiste. Des images d'archives et des chansons en voix off illustrent ce portrait.
Pierrette BRES a rencontré Jésus. Photos de la journaliste avec Léon ZITRONE. Sur le plateau, elle relate sa rencontre. Elle voulait se purifier et a fait un voyage à Jérusalem. Elle a explosé devant le mur des lamentations. Elle a eu l'impression d'être entraînée dans un maelstrum et a reconnu Jésus. Elle a été happée par la lumière. Yves RENIER lui demande alors quel type de moquette elle fume. Elle parle des conséquences de cette rencontre sur son comportement psychologique.
Reportage sur Roy THINNES, le héros des Envahisseurs. Après le générique du feuilleton, Roy sur le lieu où il a vu un vrai OVNI espère qu'il y a quelque chose là bas. Photos d'OVNI.
Sur le plateau, Sophie est tombée daéns l'alcoolisme pendant une dizaine d'années. Elle rapporte cette expérience dont sa fille a souffert.
Reportage sue la Cicciolina. Des photos illustrent sa carrière qui jusqu'en 1991 est orientée par les films érotiques. Interviewée à Rome, elle évoque son mariage, sa famille et avoue qu'elle a stoppé sa carrière pour son fils. Elle voudrait lui donner la sérénité. (photos en famille).
Des photos de Myriam (demain j'enlève le bas) situent le début de sa carrière en tant que mannequin. Elle a pensé que les gens étaint fous de donner tant d'importance à une photo. Elle est alors partie dans  une retraite bouddhiste. Elle étudie en Inde et donne des cours de danse et de cuisine."
280467.048;Direct 8;2010;2010;Participation du public à distance;Culture connaissance;Magazine;01:07:28:00;"[Source TNS media intelligence ] : 
Avec Daniella Lumbroso : Laurence Ferrari est devenue maman hier. citation de  l'émission de TF1 ""Qui veut épouser mon fils?"" est elle bidonnée ? 
18:46: 45  sommaire de Geneviève de Fontenay refuse de changer la date de son concours de miss a, lors que  idf1(ph) veut une diffusion en janvier. 
18:47: 14  Florent Pagny a choqué en évoquant son départ de France contre les rebeu;  W9 et un clip en langage des signes; Daniella Lumbroso et son émission sur les chansons d'humour. 
18:47:59  Laurence Ferrari est maman.les mamans stars communiquent :
18:48:31 L'émission ""Qui veut épouser mon fils?"" de TF1 avec Cindy soupçonnée d'être un homme. 
18:49:29 Laurent Artufel :il évoque l' animateur Will Roveli qui a donné son téléphone en direct. 
18:50:56 anecdote sur Jacques Martin pour ""Sous vos applaudissements"".Message d' auditeur le poker à télévision. 
18:52:33 Reportage de pierre Bordin Soviac : le zapping : le tabac augmente ; extrait de canal+ sur les fumeurs ; France 2 sur les malades du cancer qui ne peuvent plus prendre d'emprunt auprès d' une banque ; des villes ont produit des arrêtés invalidables sur les PV citation du Parisien.  extrait de M6: un jeune homme s'est tué en Kite Surf il est mort en s'écrasant sur un immeuble 
18:54:28 France 2:une jeune fille évoque des bizutages écoeurants:images d'une collision de trains en Pologne. NT1 reportages sur les commandos d'élite: un torrent de boue a englouti un port au Brésil.extrait de TF1 sur les spectacles organisés autour de Mickael Jackson.extrait de France 2 ""Tout le monde veut prendre sa place"" TF1 : le juste prix; France 2 les Zamours.Tf1 : ""Tournez manège"".
Geneviève de Fontenay ne veut pas changer la date de son concours de miss citation de la chaîne Idf1. 
18:59:13  Liane Foly revient sur TF1 avec son grand show des enfants en prime time. 
18:59:36  Florent Pagny a dérapé à Chérie FM sur les raisons pour lesquelles il a quitté la France : il ne voulait pas que ses enfants parlent 'rebeu'.Le CRAN réagit sur des propos racistes.  
19:00:37 Interview de Myriam qui évoque son programme télé. Aurélie Cabal+ pour ""Inglorous basterds"". 
19:00:58 les audiences Elodie Gauthier : au bas de l'échelle réalisé près de 8 millions de téléspectateurs. 'Coldcase' sur France 2 ; ""Au Field la Nuit"" avec 500000 personnes. 
19:02:44 chronique de Willy: Une ado s'énerve devant les caméras en chantant Withney Houston.iamges d'un hamster Ninja entraîné dans un camp russe. 
19:07:42 images d'un jeune skater prodige de 6 ans.images d'une jeune chanteuse qui entre nue dans une maison de disque.
L'image du Jour W9 se mobilise pour les personnes handicapés avec un clip en langage des signes.
Invitée : Daniella Lumbroso : elle évoque l'émission de chansons 'Chabada' avec Laurent Gerra sur France 3.Elle évoque les recherches autour des thèmes pour des primes autour des chansons.
Pub.
Invitée : Daniella Lumbroso : elle évoque l'émission de chansons 'Chabada' avec Laurent Gerra sur France 3.Elle évoque la version hebdomadaire de l' émission.Il y a toujours un public sur la créneau du dimanche.Elle évoque Ben l'oncle Soul. 
19:20:44 Reportage de Guillaume Dietrich : les conceptrs d' émission de variété se cherchent  avant les vedettes marchaient à tous les coups. 
19:21:19 Interview de Franck Saurat de Carson prod : il y a beaucoup plus de chaînes ,il faut lui montrer ce qu'il n'a pas en dvd chez lui. Il y a des jeux pour les amateurs de chant pour changer le programme.La téléréalité a poussé beaucoup de jeunes chanteurs un peu jetables. On est passé alors aux inconnus;la bataille des chorales les grand duel des générations ont fait flop; il reste les enfoirés à TF1 et la Fête de la musique à France 2.citation de l'émission ""InGerrable"" qui a été un succès. citation de ""Encore une chanson"" qui a échoué.Il reste les émissions anniversaires avec des grandes stars. 
19:24:23 Interview de Franck Saurat:il faut recréer des vraies vedettes avec de vraies carrières. 
19:24:48 retour plateau  
19:24:51 Interview de D Lumbroso : elle évoque son émission ""Chabada"" et le vrai travail des musiciens en studio.La télé à la chaîne durant 10 ans a un peu épuisé les chanteurs.Elle évoque Annie Cordy, Jean D' Ormesson.
19:26:28  extrait de ""Chabada"". 
19:27:44 D.Lumbroso:elle n'est pas lassée par son créneau du dimanche et son travail sur la chanson.Elle voudrait faire de l'actualité.Elle évoque Olivier Mine.Elle évoque l' identité de France 3 selon les nouveaux projets de Rémi Pfimlin.
Laurence Ferrari est devenue maman; TF1 l'a annoncé lors d'un JT de Harry Roselmack 
19:30:01 Reportage de Marie Deneuville : les stars médiatisent plus facilement leurs grossesses. 
19:30:36  extrait des journaux de TF1.Elle a travaillé jusqu'à quelques jours de la naissance 
19:31:05 Interview de Céline Dion.la Star a couvert ses grossesses au maximum des détails.
19:32:01 Interview de Monica Bellucci.citation de Sonia Roland, 
19:32:33 Interview de Ségolène Royal ;Rachida Dati a fait jaser avec l'identité du père de son enfants. 
19:33:01 Interview de Gianni Lorenzon de Ici Paris : les personnalités en ceintes c'est a la fois ordinaire et exceptionnel. Cela aide les pipoles à se rapprocher de leur public.ces femmes ont souvent plus de 40 ans. 
19:34:25 D Lumbroso : il est dur de cacher une grossesse; c'est une sorte de revendication féminine.les stars cachaient souvent leurs enfants pour rester dans la séduction.G Lorenzon :les stars enceintes marchent elles toujours en presse au dela de 40 ans cela touche aussi.il évoque le commerce des photos avec les bébés, il cite les enfants d'Angelina Jolie dont les photos ont couté 4 millions de dollars.
Les news : sur TF1 débarque un remake de la série 'V'. 
19:37:27  Jérémie Chatelain a mis en musique ""le manège enchanté"". Hélène Segara devient animatrice sur Gulli.Que devient Luna dans ""Plus belle la vie"".Paris Première revient sur le calendrier Pirelli. 
19:39:20 Ariane Brodier: elle traque les extraterrestres du PAF.Elle pose des questions sur Secret Story. Daniella Lumbroso a chanté sous le nom 'Coco Boer'.
Invitée :Cindy de ""Qui veut épouser mon fils ?"" de TF1 
19:42:10 Reportage sur l'émission de TF1 : le candidat émet des doutes sur son identité.Il pense que c'est un homme... 
19:43:54  
19:43:54 Interview de Cindy :Jamais elle n'a été traitée de travelo. Elle est strip teaseuse de profession. Elle a fait de la chirurgie esthétique ce qui est nécessaire dans ce secteur.Elle cherche à être comédienne. 
19:46:29 Reportage de Guillaume Dietrich sur l' émission de dating de TF1.les démoiselles sont elles sincères dans leurs recherches on peut en douter.citation du Bachelor et de ""l'Amour est dans le prés"". 
19:48:00 Interview de Yann le Poulichet de Voici sur 5 garçon et 20 filles si on a 3 personnes sincères c'est e max tout le monde cherche autre chose.citation de Entrevue qui dévoile certaines des filles.les garçons sont ils seuls ? non ils ont leur com à faire. 
19:49:51 Interview de Cindy:dans cette émission elle cherche de la notoriété:il y a du vrai et du faux.Des choses sont dirigées.Elle croit pouvoir se faire remarquer en faisant ce style d'émission. 
19:51:55  D.Lumbroso: elle ne porte pas de jugement, il n' y a aucune réalité dans cette télévision, tout est autour de l'argent de l' apparence.Cindy : elle est bien nue femme."
285337.021;NT1;2010;2010;Plus de seize ans;Fiction;Téléfilm;01:36:46:00;"[Source iMedia]
Une jeune femme sensuelle aide un équipage d'extraterrestres, venus découvrir les délices de l'amour sur Terre, à retrouver leur indispensable boîte noire.
Soucieuse de parfaire l'initiation de l'extraterrestre Haffron et de son équipage, la belle et sensuelle Emmanuelle entraîne ses élèves aux quatre coins du monde. Mais voilà qu'un problème surgit : la boîte noire de l'appareil de Haffron, objet absolument nécessaire à leur retour dans leur monde, disparaît mystérieusement. Cette boîte est capable de téléporter à bord de la navette la jeune femme et ses nombreux courtisans venus d'un autre monde. Il leur faut absolument la retrouver avant que qu'elle ne tombe entre de mauvaises mains. La quête d'Emmanuelle va s'avérer pleine de rencontres imprévues qu'elle saura transformer en moments inoubliables..."
286087.056;Gulli;2010;2010;Programme jeunesse;Fiction;Animation;00:29:01:00;"[Source iMedia]
La fiancée de Robbie a été kidnappée par des aliens qui veulent détruire la Terre. Robbie doit stopper les projets de Vorkana, la reine des Nargatrons.
Le grand jour est enfin arrivé pour Robbie et sa fiancée Donner, qui s'apprêtent à se marier. Mais tout va de travers : Robbie trouve un cristal extraterrestre, avant d'être contacté par un alien qui le supplie de sauver le monde. Donner, elle, est enlevée par Vorkana, la Reine des Nargatrons, un peuple extraterrestre impitoyable à la recherche du fameux cristal. Les rennes vont tout mettre en oeuvre pour sauver leurs amis Robbie et Donner, ainsi que la planète Terre..."
