g;0;2;1;0;0;0
franco;1;0;1;7;0;0
concernant;3;2;0;1;0;0
celle;5;1;2;0;0;0
car;4;2;1;0;0;0
au_dessus;6;1;1;0;0;0
ailleurs;6;0;2;0;0;0
49;0;4;0;1;0;0
46;1;2;0;2;0;0
43;2;1;1;0;0;0
36;1;3;0;1;0;0
34;3;1;0;3;0;0
32;0;3;1;4;0;0
2017;5;3;0;0;0;0
14;1;6;0;0;0;0
vers;2;2;2;0;0;0
pourtant;4;1;3;0;0;0
laquelle;4;2;2;0;0;0
ensuite;1;1;4;0;0;0
ben;2;0;1;0;0;0
alerte;2;4;1;0;0;0
51;2;1;0;2;0;0
sept;5;1;1;0;0;0
quatre;3;1;3;0;0;0
peut_être;3;1;2;0;0;0
parmi;5;0;0;1;0;0
o;3;1;3;0;0;0
moi;0;0;5;0;0;0
m;0;2;4;0;0;0
hé;4;1;2;0;0;0
hier;0;2;0;3;0;0
fort;1;1;3;0;0;0
douze;2;1;0;0;0;0
dix;7;0;0;0;0;0
chaque;2;3;2;0;0;0
ainsi;4;1;0;0;0;0
2007;0;2;1;1;0;0
vos;0;2;4;0;0;0
vite;1;3;1;0;0;0
quoi;3;2;1;0;0;0
quelque;2;0;3;0;0;0
maintenant;4;1;1;0;0;0
ma;0;1;4;0;0;0
enfin;2;0;2;0;0;0
déjà;2;0;3;0;0;0
donc;1;1;4;0;0;0
demain;0;2;1;1;0;0
dehors;1;1;2;0;0;0
37;0;2;1;2;0;0
2021;2;2;0;0;0;0
tard;2;1;2;0;0;0
surtout;2;1;1;1;0;0
près;4;0;1;0;0;0
parfois;3;2;0;0;0;0
parce_que;4;1;0;0;0;0
mêmes;3;0;1;1;0;0
mon;0;0;3;0;0;0
mieux;2;0;2;0;0;0
merci;0;4;1;0;0;0
longtemps;2;2;1;0;0;0
lequel;1;0;4;0;0;0
juste;2;1;2;0;0;0
jusqu_à;3;0;2;0;0;0
derrière;4;1;0;0;0;0
d_abord;3;1;1;0;0;0
ceux;2;1;2;0;0;0
autant;2;1;2;0;0;0
aube;0;0;0;5;0;0
2022;0;1;0;4;0;0
1979;0;4;0;0;0;0
tandis_que;1;2;0;0;0;0
quant;2;0;1;0;0;0
presque;3;0;0;0;0;0
ni;2;1;0;0;0;0
moindre;4;0;0;0;0;0
hors;2;1;1;0;0;0
dès;3;0;1;0;0;0
divers;3;0;1;0;0;0
devant;2;0;1;0;0;0
dame;3;0;1;0;0;0
cependant;3;0;0;0;0;0
celui_ci;1;2;1;0;0;0
autrefois;4;0;0;0;0;0
aucun;2;1;1;0;0;0
70;2;1;1;0;0;0
7;0;0;4;0;0;0
6;3;0;0;0;0;0
500;2;0;1;0;0;0
1999;1;1;2;0;0;0
1996;0;2;1;1;0;0
votre;0;1;2;0;0;0
via;0;1;2;0;0;0
soudain;1;2;0;0;0;0
quels;0;1;2;0;0;0
quel;2;1;0;0;0;0
plupart;1;2;0;0;0;0
partout;2;0;0;1;0;0
or;1;1;0;1;0;0
malgré;2;1;0;0;0;0
lui_même;3;0;0;0;0;0
lorsqu;2;0;1;0;0;0
inter;0;1;2;0;0;0
combien;1;1;1;0;0;0
aucune;2;1;0;0;0;0
90;1;0;1;1;0;0
60;2;0;1;0;0;0
2018;0;1;2;0;0;0
1994;2;1;0;0;0;0
1989;2;0;1;0;0;0
1980;1;2;0;0;0;0
1947;3;0;0;0;0;0
